Категория;Товар;Цена;ID валюты;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;ISBN
Для взрослых/Познавательные;Big History: Our Incredible Journey, from Big Bang to Now;21.01;1;big-history-our-incredible-journey-from-big-bang-to-now;1;0;Dorling Kindersley;;;L30577;1;9.78024E+12
Для детей/Развивающие;Big Busy Book. Words;6.53;1;big-busy-book-words;1;0;Dorling Kindersley;;;L30576;1;9.78141E+12
Для детей/Развивающие;Big Busy Book. Trucks;5.04;1;big-busy-book-trucks;1;0;Dorling Kindersley;;;L30575;1;9.78141E+12
Для взрослых/Познавательные;Bicycle Book, The;16.8;1;bicycle-book-the;1;0;Dorling Kindersley;;;L30574;1;9.78024E+12
Для взрослых/Познавательные;Beginner's Photography Guide,The;10.99;1;beginners-photography-guidethe;1;0;Dorling Kindersley;;;L30573;1;9.78141E+12
Для взрослых/Познавательные;Beer Book,The;11.47;1;beer-bookthe;1;0;Dorling Kindersley;;;L30572;1;9.78141E+12
Для взрослых/Познавательные;Bee Book: The Wonder of Bees;14.29;1;bee-book-the-wonder-of-bees;1;0;Dorling Kindersley;;;L30571;1;9.78024E+12
Для взрослых/Художественные;Battle at Sea;16.75;1;battle-at-sea;1;0;Dorling Kindersley;;;L30570;1;9.78141E+12
Для взрослых/Художественные;Battle;16.75;1;battle;1;0;Dorling Kindersley;;;L30569;1;9.78141E+12
Для детей/Творчество и досуг;Batman Friend or Foe? Ultimate Sticker Book;4.37;1;batman-friend-or-foe-ultimate-sticker-book;1;0;Dorling Kindersley;;;L30568;1;9.78141E+12
Для детей/Художественные;Batman Character Encyclopedia;8.4;1;batman-character-encyclopedia;1;0;Dorling Kindersley;;;L30567;1;9.78024E+12
Для взрослых/Художественные;Batman Arkham Universe. The Ultimate Visual Guide [Hardcover];15.07;1;batman-arkham-universe-the-ultimate-visual-guide-hardcover;1;0;Dorling Kindersley;;;L30566;1;9.78141E+12
Для взрослых/Творчество и досуг;Barbecue [Hardcover];12.13;1;barbecue-hardcover;1;0;Dorling Kindersley;;;L30565;1;9.78141E+12
Для взрослых/Творчество и досуг;Barbecue;9.41;1;barbecue;1;0;Dorling Kindersley;;;L30564;1;9.78141E+12
Для детей/Развивающие;BabyT&F Wild Animals;3.73;1;babytf-wild-animals;1;0;Dorling Kindersley;;;L30563;1;9.78141E+12
