Номенклатура/ Характеристика номенклатури;Изд группа (св-во Номенклатура);Издательство (св-во Номенклатура);Автор (св-во Номенклатура);Номенклатура.Артикул ;Серия (св-во Номенклатура);Номер дозволу МОтаН (св-во Номенклатура);Новые поступления;Цена изменена;Рекомендованая розничная ;
        All Aboard the Dinosaur Express;;;Knapman, T.;9.78141E+12;;;Нет;Нет;252.00 грн;шт
        Amanda and the Eleven Million Mile High Dancer;;;Hill, C.;9.78075E+12;;Bloomsbury;Нет;Нет;221.00 грн;шт
        And the Mountains Echoed;;;Hosseini, K.;9.78141E+12;;;Нет;Нет;324.00 грн;шт
        Angela Merkel: Europe's Most Influential Leader;;;Qvortrup, M.;9.78072E+12;;;Нет;Нет;900.00 грн;шт
        Austrian Napoleonic Artillery 1792-1815;;;Hollins, D.;9.78184E+12;;;Нет;Нет;315.00 грн;шт
        Battle Hymn of the Tiger Mother ;;;Chua, A.;9.78141E+12;;;Нет;Нет;270.00 грн;шт
        Bloomsbury Activity: My Cars;;;;9.78141E+12;;;Нет;Нет;179.00 грн;шт
        Bloomsbury Activity: My First Baby Animals Colouring Book ;;;;9.78141E+12;;;Нет;Нет;144.00 грн;шт
        Bloomsbury Activity: My First Things That Go Colouring Book;;;;9.78141E+12;;;Нет;Нет;144.00 грн;шт
        Bloomsbury Activity: Write Your Own Pirate Story;;;;9.78141E+12;;;Нет;Нет;179.00 грн;шт
        Bloomsbury Activity: Write Your Own Princess Story;;;;9.78141E+12;;;Нет;Нет;179.00 грн;шт
        Bone Season;;;Shannon, S.;9.78141E+12;;;Нет;Нет;288.00 грн;шт
        BR: Among the Dead Cities;;;Grayling, A.C.;9.78147E+12;;;Нет;Нет;641.00 грн;шт
        BR: Key Writings;;;Bergson, H.;9.78147E+12;;;Нет;Нет;936.00 грн;шт
        BR: Odyssey,The;;;Homer;9.78147E+12;;;Нет;Нет;492.00 грн;шт
        BR: Oresteia,The;;;Aeschylus;9.78147E+12;;;Нет;Нет;492.00 грн;шт
        BR: Origins of Analytical Philosophy;;;Dummett, M.;9.78147E+12;;;Нет;Нет;739.00 грн;шт
        BR: Pedagogy of Hope;;;Freire, P.;9.78147E+12;;;Нет;Нет;641.00 грн;шт
        BR: Three Ecologies,The ;;;Guattari, F.;9.78147E+12;;;Нет;Нет;641.00 грн;шт
        BR: Towards the Light;;;Grayling, A.C.;9.78147E+12;;;Нет;Нет;641.00 грн;шт
        Canada;;;Ford,R.;9.78141E+12;;;Нет;Нет;189.00 грн;шт
        Capitalism 4.0;;;Kaletsky, A.;9.78141E+12;;;Нет;Нет;408.00 грн;шт
        Chef;;;Singh, J.;9.78141E+12;;;Нет;Нет;252.00 грн;шт
        Clay;;;Harrison, M.;9.78141E+12;;;Нет;Нет;288.00 грн;шт
        Committed;;;Gilbert, E.;9.78141E+12;;;Нет;Нет;189.00 грн;шт
        Complete Ocean Skipper,The [Hardcover];;;Cunliffe, T.;9.78147E+12;;Bloomsbury;Нет;Нет;1 050.00 грн;шт
        Coraline [Paperback];;;Gaiman, N.;9.78075E+12;;;Нет;Нет;252.00 грн;шт
        David Bowie Style ;;;Lewis, D.;9.78141E+12;;;Нет;Нет;940.00 грн;шт
        Decades: A Century of Fashion;;;Silver, C.;9.78141E+12;;;Нет;Нет;1 440.00 грн;шт
        Delicacy [Paperback];;;Foenkinos, D.;9.78141E+12;;;Нет;Нет;270.00 грн;шт
