Номенклатура/ Характеристика номенклатури;Изд группа (св-во Номенклатура);Издательство (св-во Номенклатура);Автор (св-во Номенклатура);Номенклатура.Артикул ;Серия (св-во Номенклатура);Номер дозволу МОтаН (св-во Номенклатура);Новые поступления;Цена изменена;Рекомендованая розничная ;
        АК Ребекка.Дюморье Д.Advanced;;;Дюморье Д.;9.78581E+12;;;Нет;Нет;74.00 грн;шт
        АК Ромео и Джульетта.Шекспир У.Intermediate;;;Шекспир У.;9.78581E+12;;;Нет;Да;55.00 грн;шт
        АК Самоучитель английского языка.Миловидов В.;;;Миловидов В.;9.78581E+12;;;Нет;Нет;93.00 грн;шт
        АК Сказки.Уайльд О.Advanced;;;Уайльд О.;9.78581E+12;;;Нет;Да;85.00 грн;шт
        АК Смешные истории.Тэйер Дж.Pre-Intermediate;;;Тэйер Дж.;9.78581E+12;;;Нет;Да;58.00 грн;шт
        АК Снежная королева.Андерсен Х.Beginner;;;Андерсен Х.К.;9.78581E+12;;;Нет;Нет;53.00 грн;шт
        АК Страусёнок Хампти и его семья.Пучкова Ю.Begginer;;;Пучкова Ю.;9.78581E+12;;;Нет;Нет;58.00 грн;шт
        АК Стюарт Литл.Уайт Э.Pre-Intermediate;;;Уайт Э.Б.;9.78581E+12;;;Нет;Нет;59.00 грн;шт
        АК США: история, география и традиции.Бардина Г.Upper-Intermediate;;;Бардина Г.И. ;9.78581E+12;;;Нет;Да;98.00 грн;шт
        АК Украденная бацилла.Advanced;;;;9.78581E+12;;;Нет;Да;78.00 грн;шт
        АК Хижина дяди Тома.Бичер-Стоу Г.Intermediate;;;Бичер-Стоу Г.;9.78581E+12;;;Нет;Да;78.00 грн;шт
        АК Человек со Шрамом и др.рассказы.Моэм С.Advanced;;;Моэм С.;9.78581E+12;;;Нет;Нет;59.00 грн;шт
        АК Черная курица, или Подземные жители.Погорельский А.Begginer;;;Погорельский А.;9.78581E+12;;;Нет;Нет;54.00 грн;шт
        АК Чёрный Красавчик.Сьюэлл Э.Pre-Intermediate;;;Сьюэлл Э.;9.78581E+12;;;Нет;Да;68.00 грн;шт
        АК Чудеса страны Оз.Баум Л.Elementary;;;Баум Л.;9.78581E+12;;;Нет;Да;85.00 грн;шт
        АК Экология и современный мир.Миловидов В.Upper-Intermediate;;;Миловидов В.;9.78581E+12;;;Нет;Нет;66.00 грн;шт
        АК Экономика в современном мире.Миловидов В.Upper-Intermediate;;;Миловидов В.;9.78581E+12;;;Нет;Нет;72.00 грн;шт
        АК Экскалибур.Меч короля Артура.Elementary;;;;9.78581E+12;;;Нет;Да;43.00 грн;шт
        АК Ярмарка тщеславия.Теккерей У.Upper-Intermediate;;;Теккерей У.;9.78581E+12;;;Нет;Да;54.00 грн;шт
        Английские буквосочетания. Гласные=Spelling paterns: Vowels;;;;9.78581E+12;;;Нет;Нет;21.00 грн;шт
        Английские буквосочетания. Согласные = Spelling Patterns. Consonants;;;;9.78581E+12;;;Нет;Нет;21.00 грн;шт
        Аэропорт Хейли А./На англ.яз.;;;Хейли А;9.78581E+12;;;Нет;Нет;63.00 грн;шт
        Белый Клык /на анг. яз.;;;Лондон Дж.;9.78581E+12;;;Нет;Нет;69.00 грн;шт
        Билингва: Влюблённые женщины. Women in Love +MP3 Advanced;;;Лоренс Д.;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Билингва: Дары волхвов и другие рассказы + Mp3 диск Pre-intermediate;;;Генри, О.;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Билингва: Затерянный мир The Lost World + MP3 Elementary;;;Дойл А.К.;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Билингва: Легенды о короле Артуре + Mp3 диск Pre-intermediate;;;;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Билингва: Легенды о Робин Гуде + Mp3 диск Elementary;;;;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Билингва: Мэри Поппинс. Mary Poppins + MP3 диск Elementary;;;Трэверс П.Л.;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Билингва: Последний из могикан + Mp3 диск Elementary;;;Купер Дж.Ф.;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Билингва: Ярмарка тщеславия. Vanity Fair + MP3 Upper-intermediate;;;Теккерей У.;9.78581E+12;;;Нет;Да;111.00 грн;шт
        Вашингтонская площадь /На англ.яз.;;;Hogg, J.;9.78581E+12;;;Нет;Нет;39.00 грн;шт
        Великий Гэтсби /На англ.яз.;;;Fitzgerald, F.;9.78581E+12;;;Нет;Нет;63.00 грн;шт
        Вино из одуванчиков.Брэдбери Р./На англ.яз.;;;Брэдбери Р.;9.78581E+12;;;Нет;Нет;63.00 грн;шт
        Волшебные истории итальянских писателей / на ит. яз;;;Брэдбери Р.;9.78581E+12;;;Нет;Нет;45.00 грн;шт
        Глиняный Бог/ на нем языке;;;;9.78581E+12;;;Нет;Нет;35.00 грн;шт
        Говорите по-немецки правильно. Литвинов П.;;;Литвинов П.;9.78581E+12;;;Нет;Нет;94.00 грн;шт
        Джейн Эйр Бронте Ш./На англ.яз.;;;Бронте Ш.;9.78581E+12;;;Нет;Да;59.00 грн;шт
        Доктор Джекил и мистер Хайд./На англ.яз.;;;;9.78581E+12;;;Нет;Нет;20.00 грн;шт
        ДР 1200 тестов по английскому языку. Гичева Н.;;;Гичева Н.;9.78581E+12;;;Нет;Нет;25.00 грн;шт
        ДР 60 устных тем по французскому языку. Мурадова Л.;;;Мурадова Л.;9.78581E+12;;;Нет;Нет;23.00 грн;шт
        ДР 75 устных тем по испанскому языку. Нуждин Г.;;;Нуждин Г.;9.78581E+12;;;Нет;Нет;40.00 грн;шт
        ДР Английский язык. Интенсивный курс подготовки к ЕГЭ. Чадаева М.;;;Чадаева М.;9.78581E+12;;;Нет;Нет;15.00 грн;шт
        ДР Практическая грамматика английского языка. Романова Л.;;;Романова Л.;9.78581E+12;;;Нет;Нет;134.00 грн;шт
        ЕГЭ Англ. язык. Грамматика в тестах. Романова Л.;;;Романова Л.;9.78581E+12;;;Нет;Нет;83.00 грн;шт
        ЕГЭ Англ. язык. Грамматика и лексика. Романова Л.;;;Романова Л.;9.78581E+12;;;Нет;Нет;69.00 грн;шт
        ЕГЭ Англ. язык. Письмо. Романова Л.;;;Романова Л.;9.78581E+12;;;Нет;Нет;53.00 грн;шт
        ЕГЭ Англ. язык. Чтение. Романова Л.;;;Романова Л.;9.78581E+12;;;Нет;Нет;55.00 грн;шт
        ЕГЭ Англ.язык. Эссе: темы и аргументы. Занина Е.;;;Занина Е.;9.78581E+12;;;Нет;Нет;149.00 грн;шт
        ЗанКарт по англ. языку на поддончике с методичкой. Комплект;;;Клементьева Т.;9.78581E+12;;;Нет;Нет;429.00 грн;шт
        ЗанКарт. Level 1 Машина. Читаем А, О;;;;9.78581E+12;;;Нет;Нет;69.00 грн;шт
        ЗанКарт. Level 2 Поросенок. Читаем E, I;;;;9.78581E+12;;;Нет;Нет;65.00 грн;шт
        ЗанКарт. Level 3 Мышонок. Читаем U, OA, OU, OO;;;;9.78581E+12;;;Нет;Нет;65.00 грн;шт
        ЗанКарт. Level 4 Слон. Читаем C, G, SH, CH, PH;;;;9.78581E+12;;;Нет;Нет;65.00 грн;шт
        ЗанКарт. Level 5 Толстый кот. Читаем сочетания слов;;;;9.78581E+12;;;Нет;Нет;65.00 грн;шт
        ЗанКарт. Level 6 Действия. Читаем предложения;;;;9.78581E+12;;;Нет;Нет;72.00 грн;шт
        Заставьте танцевать мертвеца. Чейз Дж.Х./На англ.яз.;;;Чейз Дж.Х.;9.78581E+12;;;Нет;Нет;28.00 грн;шт
        Зов предков /на анг. яз.;;;Лондон Дж.;9.78581E+12;;;Нет;Да;72.00 грн;шт
        Испанский язык для начинающих. Самоучитель. Разговорник. Словарик;;;Палома Мартин Лора-Тамайо;9.78581E+12;;;Нет;Нет;82.00 грн;шт
        Истории о любви / Liebesgeschichten /На немецком языке.;;;Гессе Г.;9.78581E+12;;;Нет;Да;59.00 грн;шт
        Итальянский язык для начинающих. Самоучитель. Разговорник.Книга+Mp3;;;Гроше Ю.;9.78581E+12;;;Нет;Нет;140.00 грн;шт
        Как быстро выучить много английских слов. Литвинов П.;;;Литвинов П.;9.78581E+12;;;Нет;Да;65.00 грн;шт
        Как быстро выучить много немецких слов. Литвинов П.;;;Литвинов П.;9.78581E+12;;;Нет;Нет;59.00 грн;шт
"        Карусель. Английский на ""Пять"" Комплект из 7 кругов";;;;9.78581E+12;;;Нет;Нет;297.00 грн;шт
        Китайский язык для начинающих. Самоучитель. Разговорник;;;;9.78581E+12;;;Нет;Нет;171.00 грн;шт
        Китайский язык для начинающих. Самоучитель. Разговорник + Mp3;;;;9.78581E+12;;;Нет;Да;242.00 грн;шт
        Крестный отец/На английском языке;;;Пьюзо М;9.78581E+12;;;Нет;Нет;63.00 грн;шт
        Курс английского языка для магистрантов / English Masters Course;;;Зинкевич Н.А.;9.78581E+12;;;Нет;Нет;280.00 грн;шт
        Любовник леди Чаттерлей;;;Лоренс Д.;9.78581E+12;;;Нет;Нет;36.00 грн;шт
        Медовый месяц и др.рассказы./На англ.яз.;;;;9.78581E+12;;;Нет;Нет;18.00 грн;шт
        Миловидов Английский для делового общения;;;Миловидов В.;9.78581E+12;;;Нет;Да;85.00 грн;шт
        Миловидов Великобритания: история, география и традиции;;;Миловидов В.;9.78581E+12;;;Нет;Нет;75.00 грн;шт
        Миловидов Ускоренный курс совр анг яз для  начинающих.;;;Миловидов В.;9.78581E+12;;;Нет;Да;121.00 грн;шт
        Миловидов Ускоренный курс совр анг яз для ПРОДОЛ.;;;Миловидов В.;9.78581E+12;;;Нет;Да;137.00 грн;шт
        Миловидов Ускоренный курс совр анг яз для ПРОДОЛ+ CD;;;Миловидов В.;9.78581E+12;;;Нет;Нет;147.00 грн;шт
        Миловидов Ускоренный курс современного англ.языка для начинающих ;;;Миловидов В.;9.78581E+12;;;Нет;Нет;121.00 грн;шт
        Миловидов Ускоренный курс современного англ.языка для начинающих + CD  ;;;Миловидов В.;9.78581E+12;;;Нет;Нет;172.00 грн;шт
        Може Ускоренный курс франц языка;;;Може Г., Брюезьер М.;9.78581E+12;;;Нет;Нет;222.00 грн;шт
        Моя первая 1000 английских слов. Техника запоминания;;;Литвинов П.;9.78581E+12;;;Нет;Да;72.00 грн;шт
        Моя первая 1000 испанских слов. Техника запоминания;;;Литвинов П.;9.78581E+12;;;Нет;Нет;88.00 грн;шт
        Немецкий язык для начинающих. Самоучитель. Разговорник;;;Гроше Ю.;9.78581E+12;;;Нет;Нет;118.00 грн;шт
        Николенко Английский для детей. Сборник упражнений;;;Николенко Т.;9.78581E+12;;;Нет;Нет;82.00 грн;шт
        Новеллы Шторм Т./На немецком языке.;;;Шторм Т.;9.78581E+12;;;Нет;Нет;20.00 грн;шт
        Нуждин Испанский язык для начинающих. Самоучитель. Разговорник. Словарик. (+ МР3) 2015;;;Нуждин Г.;9.78581E+12;;;Нет;Нет;125.00 грн;шт
        Нуждин Курс современного испанского языка для продолжающих (с ключами);;;Нуждин Г.;9.78581E+12;;;Нет;Нет;148.00 грн;шт
        Нуждин Учебник современного испанского языка (с ключами);;;Нуждин Г.;9.78581E+12;;;Нет;Нет;266.00 грн;шт
        Нуждин Учебник современного испанского языка + МР3 (с ключами);;;Нуждин Г.;9.78581E+12;;;Нет;Нет;325.00 грн;шт
        Перекидное табло. Английский язык. 2-4 классы;;;Степичев П.А.;9.78581E+12;;;Нет;Нет;239.00 грн;шт
        Песни для детей на анг языке   Audio CD 1-2. Nature,Animals;;;;9.78581E+12;;;Нет;Нет;62.00 грн;шт
        Песни для детей на анг языке   Audio CD 3-4. People and Places,School and Friends;;;;9.78581E+12;;;Нет;Нет;62.00 грн;шт
        Песни для детей на анг языке   Audio CD 5-6. Games,Christmas Carols;;;;9.78581E+12;;;Нет;Нет;62.00 грн;шт
        Песни для детей на анг языке. Книга 1. Nature;;;;9.78581E+12;;;Нет;Нет;34.00 грн;шт
        Песни для детей на анг языке. Книга 2. Animals;;;;9.78581E+12;;;Нет;Нет;34.00 грн;шт
        Песни для детей на анг языке. Книга 3. People and places;;;;9.78581E+12;;;Нет;Нет;34.00 грн;шт
        Песни для детей на анг языке. Книга 4. School and Friends;;;;9.78581E+12;;;Нет;Нет;34.00 грн;шт
        Песни для детей на анг языке. Книга 5. Games;;;;9.78581E+12;;;Нет;Нет;34.00 грн;шт
        Песни для детей на анг языке. Книга 6. Christmas Carol;;;;9.78581E+12;;;Нет;Нет;34.00 грн;шт
        Песни для детей на анг языке.Games and activities .Книга для учителя;;;;9.78581E+12;;;Нет;Нет;38.00 грн;шт
        Проверяй-ка. English. Учим слова. Животные.Растения.Природа.(Игра с карандашом) ;;;;9.78581E+12;;;Нет;Нет;120.00 грн;шт
        Проверяй-ка. English. Учим слова. Одежда. Обувь. Еда (Игра с карандашом);;;;9.78581E+12;;;Нет;Нет;120.00 грн;шт
        Проверяй-ка. English. Учим слова. Человек.Семья.Дом.(Игра с карандашом) ;;;Владимирова А.;9.78581E+12;;;Нет;Нет;134.00 грн;шт
        Проверяй-ка. English. Учимся говорить.(Игра с карандашом);;;;9.78581E+12;;;Нет;Нет;137.00 грн;шт
        Проверяй-ка. English. Учимся писать. (Игра с карандашом) ;;;;9.78581E+12;;;Нет;Нет;117.00 грн;шт
        Проверяй-ка. English. Учимся читать;;;;9.78581E+12;;;Нет;Нет;117.00 грн;шт
        Пять поросят.Кристи А./На англ.яз.;;;Кристи А.;9.78581E+12;;;Нет;Нет;65.00 грн;шт
        Разговорный английский + MP3 Войтенко В.Advanced;;;Войтенко В.;9.78581E+12;;;Нет;Нет;174.00 грн;шт
        Разговорный немецкий. Umgangsdeutsch;;;Митаенко А.;9.78581E+12;;;Нет;Нет;24.00 грн;шт
        Рассказы о любви, безумии и смерти/На исп.яз.;;;Кирого Орасио;9.78581E+12;;;Нет;Нет;30.00 грн;шт
        Рассказы о любви. /На английском языке;;;;9.78581E+12;;;Нет;Нет;48.00 грн;шт
        Ромео и Джульетта. Шекспир У./На английском языке;;;Шекспир У.;9.78581E+12;;;Нет;Нет;55.00 грн;шт
        Самоучитель английского языка + CD.Миловидов В.;;;Миловидов В.;9.78581E+12;;;Нет;Нет;183.00 грн;шт
        Сверкающий цианид. Кристи А./На англ.яз.;;;Кристи А.;9.78581E+12;;;Нет;Нет;53.00 грн;шт
        Скультэ Английский  для детей ;;;Скультэ В.;9.78581E+12;;;Нет;Нет;100.00 грн;шт
        Скультэ Английский  для детей (ч.б.иллюстрации);Скультэ В.;;Скультэ В.;9.78581E+12;;Айрис;Нет;Нет;113.00 грн;шт
        Скультэ Английский  для детей.Методический указания.Ключи ;;;Скультэ В.;9.78581E+12;;;Нет;Нет;56.00 грн;шт
        Скультэ Английский  для детей.Пропись-раскраска;;;Скультэ В.;9.78581E+12;;;Нет;Нет;14.00 грн;шт
        Собака Баскервилей/на анг. яз.;;;Конан Дойль;9.78581E+12;;;Нет;Нет;69.00 грн;шт
        Справочник по пунктуации английского языка.Иванова А.;;;Иванова А.М.;9.78581E+12;;;Нет;Да;21.00 грн;шт
        Справочник.400 наиболее употребительных немецких идиом. Тематический словарь;;;;9.78581E+12;;Айрис;Нет;Да;21.00 грн;шт
        Справочник.Английские артикли.Иванова А.;;;Иванова А.М.;9.78581E+12;;;Нет;Нет;20.00 грн;шт
        Справочник.Английские предлоги.Угарова Е.;;;Угарова Е.;9.78581E+12;;;Нет;Да;21.00 грн;шт
        Справочник.Английские прилагательные и наречия.Нагорная А.;;;Нагорная А.;9.78581E+12;;;Нет;Да;21.00 грн;шт
        Справочник.Вопросительные предложения английского языка.Угарова Е.;;;Угарова Е.;9.78581E+12;;;Нет;Нет;17.00 грн;шт
        Справочник.Все времена английских глаголов.Угарова Е.;;;Угарова Е.;9.78581E+12;;;Нет;Нет;20.00 грн;шт
        Справочник.Все модальные глаголы английского языка.Угарова Е.;;;Угарова Е.;9.78581E+12;;;Нет;Нет;20.00 грн;шт
        Справочник.Неличные формы английского глагола.Нагорная А.;;;Нагорная А.;9.78581E+12;;;Нет;Нет;17.00 грн;шт
        Справочник.Немецкие предлоги.Наумова Н.;;;Наумова Н.;9.78581E+12;;;Нет;Нет;21.00 грн;шт
        Справочник.Неправильные глаголы английского языка.Угарова Е.;;;Угарова Е.;9.78581E+12;;;Нет;Нет;13.00 грн;шт
        Справочник.Словообразование в английском языке;Нагорная А.;;Нагорная А.;9.78581E+12;;Айрис;Нет;Да;21.00 грн;шт
        Справочник.Фразовые глаголы английского языка.Угарова Е. ;;;Угарова Е.;9.78581E+12;;;Нет;Нет;20.00 грн;шт
        Сундучок первоклассника. Учимся читать правильно. Комплект из 5 игр.;;;;9.78581E+12;;;Нет;Нет;569.00 грн;шт
        Сундучок с играми. Учим английский язык (Play&Say) (Уровень1 Зеленый);;;;9.78581E+12;;;Нет;Нет;422.00 грн;шт
        Сундучок с играми. Учим английский язык (Play&Say) (Уровень2 Синий);;;;9.78581E+12;;;Нет;Нет;422.00 грн;шт
        Сундучок с играми. Учим английский язык (Play&Say) (Уровень3 Красный);;;;9.78581E+12;;;Нет;Нет;542.00 грн;шт
        ТемКарт. 420 Английский язык.Разговорный практикум;;;;9.78581E+12;;;Нет;Нет;257.00 грн;шт
        ТемКарт. 420 Испанский язык.Разговорный практикум;;;;9.78581E+12;;;Нет;Нет;240.00 грн;шт
        ТемКарт. 420 Итальянский язык.Разговорный практикум;;;;9.78581E+12;;;Нет;Нет;240.00 грн;шт
        ТемКарт. 420 Немецкий язык.Разговорный практикум;;;;9.78581E+12;;;Нет;Нет;240.00 грн;шт
        ТемКарт. 500 наиболее употребимых глаголов английского языка;;;;9.78581E+12;;;Нет;Нет;266.00 грн;шт
        ТемКарт. 500 наиболее употребимых прилагательных английского языка;;;;9.78581E+12;;;Нет;Нет;257.00 грн;шт
        ТемКарт. 500 наиболее употребимых существительных английского языка;;;;9.78581E+12;;;Нет;Нет;257.00 грн;шт
        ТемКарт. 500 наиболее употребительных выражений английского языка ;;;;9.78581E+12;;;Нет;Нет;257.00 грн;шт
        ТемКарт. 500 наиболее употребительных существительных немецкого языка;;;;9.78581E+12;;;Нет;Нет;228.00 грн;шт
        ТемКарт. Мои первые английские слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;236.00 грн;шт
        ТемКарт. Мои первые испанские слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;314.00 грн;шт
        ТемКарт. Мои первые итальянские слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;240.00 грн;шт
        ТемКарт. Мои первые китайские слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;257.00 грн;шт
        ТемКарт. Мои первые корейские слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;257.00 грн;шт
        ТемКарт. Мои первые немецкие слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;240.00 грн;шт
        ТемКарт. Мои первые турецкие слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;240.00 грн;шт
        ТемКарт. Мои первые французские слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;240.00 грн;шт
        ТемКарт. Мои первые японские слова. 333 карточки для запоминания;;;;9.78581E+12;;;Нет;Нет;257.00 грн;шт
        ТестКарточки. Английский язык. 2-4 классы;;;Степичев П.А.;9.78581E+12;;;Нет;Нет;188.00 грн;шт
        Убийство в Месопотамии./На англ.яз.;;;Кристи А.;9.78581E+12;;;Нет;Нет;63.00 грн;шт
        Умные кубики. Силуэты. 50 игр для развития интеллекта ( 5-7 лет).;;;;9.78581E+12;;;Нет;Нет;149.00 грн;шт
        Умные кубики. Уши, лапы и хвосты. 50 игр для развития интеллекта ( 3-5 лет).;;;;9.78581E+12;;;Нет;Нет;149.00 грн;шт
        Умный блокнот. English Еда.(Food) Уровень 1;;;;9.78581E+12;;;Нет;Нет;41.00 грн;шт
        Умный блокнот. English. Animals Уровень 1;;;Политова, М.;9.78581E+12;;;Нет;Нет;41.00 грн;шт
        Умный блокнот. English. Nature Уровень 1;;;;9.78581E+12;;;Нет;Нет;43.00 грн;шт
        Умный блокнот. English. Семья (Family) Уровень 1;;;;9.78581E+12;;Айрис;Нет;Нет;41.00 грн;шт
        Умный блокнот. English. Увлечения (Hobby )Уровень 1;;;;9.78581E+12;;Айрис;Нет;Нет;40.00 грн;шт
        Упражнения по лексике немецкого языка;;;Гроше Ю.;9.78581E+12;;;Нет;Нет;65.00 грн;шт
        Учебник англ яз. для гуманитарных специальностей ВУЗов ;;;Бурова, З.;9.78581E+12;;;Нет;Нет;251.00 грн;шт
        Учим английский играя. Уровень 1.(набор карточек+книга);;;;9.78581E+12;;;Нет;Нет;177.00 грн;шт
        Учим английский играя. Уровень 2.(набор карточек+книга);;;;9.78581E+12;;;Нет;Нет;174.00 грн;шт
        Учим английский играя. Уровень 3.(набор карточек+книга);;;;9.78581E+12;;;Нет;Нет;174.00 грн;шт
        Учим английский играя. Уровень 4.(набор карточек+книга);;;;9.78581E+12;;;Нет;Нет;177.00 грн;шт
        Финский язык для начинающих. Самоучитель. Разговорник;;;Кротков И.;9.78581E+12;;;Нет;Нет;82.00 грн;шт
        Хикори Дикори Док./На англ.яз.;;;Кристи А.;9.78581E+12;;;Нет;Нет;48.00 грн;шт
        Чайка по имени Джонатан Лингвистон.Бах Р./На англ.яз.;;;Бах Р.;9.78581E+12;;;Нет;Нет;51.00 грн;шт
        ЧВ Бабочка Алина в огороде. Aline-Butterfly in the Garden;;;Благовещенская Т.;9.78581E+12;;;Нет;Да;33.00 грн;шт
        ЧВ Бабочка Алина и ее картина. Aline-Butterfly and Her Picture;;;Благовещенская Т.;9.78581E+12;;;Нет;Да;33.00 грн;шт
        ЧВ Белоснежка и семь гномов. Snow White and the Seven Dwarfs  ;;;Наумова Н.;9.78581E+12;;;Нет;Нет;42.00 грн;шт
        ЧВ Волшебный горшочек каши. The Magic Porridge Pot ;;;Наумова Н.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
        ЧВ Гадкий утенок. The Ugly Duckling;;;Карачкова А.;9.78581E+12;;;Нет;Нет;42.00 грн;шт
        ЧВ Гусеница Алина и ее друзья. Aline-Caterpillar and Her Friends;;;Благовещенская Т.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
        ЧВ Златовласка и три медведя. Goldilocks and Three Bears;;;Карачкова А.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
        ЧВ Золушка. Cinderella;;;Карачкова А.;9.78581E+12;;;Нет;Да;43.00 грн;шт
        ЧВ Колобок. The Bun;;;Карачкова А.;9.78581E+12;;;Нет;Да;33.00 грн;шт
        ЧВ Кошка и мышка. The Cat and the Mouse.;;;;9.78581E+12;;Айрис;Нет;Нет;32.00 грн;шт
        ЧВ Красавица и чудовище. Beauty and the Beast;;;Карачкова А.;9.78581E+12;;;Нет;Нет;42.00 грн;шт
        ЧВ Красная Шапочка (на англ языке) 3 ур.;;;Воронова Е.;9.78581E+12;;;Нет;Да;43.00 грн;шт
        ЧВ Кто самый лучший? Who is the Best?;;;;9.78581E+12;;Айрис;Нет;Нет;32.00 грн;шт
        ЧВ Лисичка-сестричка и братец волк. Sister Fox and Brother Wolf ;;;Владимирова А.;9.78581E+12;;;Нет;Да;33.00 грн;шт
        ЧВ Мужик и заяц. A Man and a Hare ;;;Владимирова А.;9.78581E+12;;;Нет;Да;33.00 грн;шт
        ЧВ Почему сова летает только ночью. Why the owl flies only by night ;;;Максименко Н.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
        ЧВ Репка. The Turnip;;;Наумова Н.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
        ЧВ Русалочка. The Little Mermaid ;;;Карачкова А.;9.78581E+12;;;Нет;Нет;42.00 грн;шт
        ЧВ Стойкий оловянный солдатик. The Brave Tin Soldier ;;;Андерсен Х.К.;9.78581E+12;;;Нет;Да;43.00 грн;шт
        ЧВ Теремок. The Little House  ;;;Наумова Н.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
        ЧВ Три поросенка становятся детективами.The Three Little Pigs Make Detectives ;;;Наумова Н.;9.78581E+12;;;Нет;Да;33.00 грн;шт
        ЧВ Три поросенка. The Three Little Pigs;;;Наумова Н.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
        ЧВ Щелкунчик. The Nutcracker. ;;;;9.78581E+12;;Айрис;Нет;Нет;42.00 грн;шт
        ЧВ Щенок Боб. Bob the Puppy ;;;Владимирова А.;9.78581E+12;;;Нет;Нет;32.00 грн;шт
    Антология;;;;;;;;;;
        B.Shaw Plays Pygmalion The Apple Cart;;;B.Shaw;9.78595E+12;;;Нет;Нет;104.00 грн;шт
        Ciao, Italia!  Учебное пос для начинающих;;;Анчидеи К.;9.78595E+12;;;Нет;Нет;128.00 грн;шт
        Deutsche Literatur (Нем.литература) Снегова Э.,Лимова С.;;;;9.78595E+12;;;Нет;Нет;58.00 грн;шт
        Lesen mit Erfolg Книга для чт. на нем.яз. Снегова Э.,Лимова С.;;;Снегова Э.;9.78595E+12;;;Нет;Нет;72.00 грн;шт
        Арсеньева Немецкая грамматика.Версия 2.0;;;Арсеньева;9.78595E+12;;;Нет;Нет;192.00 грн;шт
        Белый отряд Дойль К.Кн.для чт.на англ.яз. Антология;;;Дойл А.К.;9.78582E+12;;;Нет;Нет;25.00 грн;шт
        Бойня №5  Воннегут К. Кн.для чт.на англ.яз. Антология;;;Воннегут К.;9.78595E+12;;;Нет;Нет;32.00 грн;шт
        Бокал шампанского Статут Р. Кн.для чт.на англ.яз. Антология;;;Стаут Р.;9.78595E+12;;;Нет;Нет;43.00 грн;шт
        Бриллианты навсегда Флеминг Я. Кн.для чт.на англ.яз. Антология;;;Флеминг Я.;9.78595E+12;;;Нет;Нет;43.00 грн;шт
        Бэббит Льюис С. Кн.для чт.на англ.яз. Антология;;;Льюис С.;9.78595E+12;;;Нет;Нет;47.00 грн;шт
        Виновница его мучений Кейн Дж. Кн.для чт.на англ.яз. Антология;;;Кейн Дж.;9.78595E+12;;;Нет;Нет;31.00 грн;шт
        Возвращение шпиона Ле Карре Д. Кн.для чт.на англ.яз. Антология;;;Ле Карре Д.;9.78595E+12;;;Нет;Нет;37.00 грн;шт
        Воришка и другие рассказы (The Thief and Other Stories) Ренделл Р. Кн.для чт.на англ.яз. ;;;Ренделл Р.;9.78595E+12;;;Нет;Нет;43.00 грн;шт
        Воронец Простой итальянский для школьников и родителей;;;Воронец С., Павлова А.;9.78595E+12;;;Нет;Нет;216.00 грн;шт
        Воронина Грамматическая шкатулка. Сборник упражнений по грамматике корейского яз.;;;Воронина Л.;9.78595E+12;;;Нет;Нет;209.00 грн;шт
        Вудхауз Дживс в отпуске.;;;Вудхауз;9.78595E+12;;;Нет;Нет;98.00 грн;шт
        Вымышленные истории Борхес Х. Кн.для чт.на исп.яз. Антология;;;Борхес Х.;9.78595E+12;;;Нет;Нет;47.00 грн;шт
        Голдфингер Флеминг Я. Кн.для чт.на англ.яз. Антология;;;Флеминг Я.;9.78595E+12;;;Нет;Нет;41.00 грн;шт
        Двенадцатая ночь. Шекспир В.Кн.для чт.на англ.яз. Антология;;;Шекспир У.;9.78595E+12;;;Нет;Нет;22.00 грн;шт
        Дзенс Теория и практика перевода Антология;;;Дзенс И.;9.78595E+12;;;Нет;Нет;122.00 грн;шт
        Дзенс Теория перевода и переводческая практика с немецкого на русский;;;Дзенс И.;9.78595E+12;;;Нет;Нет;216.00 грн;шт
        Доктор Ноу Флеминг Я. Кн.для чт.на англ.яз. Антология;;;Флеминг Я.;9.78595E+12;;;Нет;Нет;47.00 грн;шт
        Дроздова English Grammar Test File;;;Дроздова Т.;9.78595E+12;;;Нет;Нет;37.00 грн;шт
